size_retained,size_passing,density_lo,density_hi,mass_pct,Fe,SiO2,P,TiO2,V
1,,,,0.4,22.7,50.9,0.042,0.17,0.0049
0.1,1,,,67.1,27.3,47.7,0.107,0.178,0.0062
0.063,0.1,,,12.7,18,57.8,0.44,0.2,0.0056
0.04,0.063,,,8.2,16.9,57.1,0.61,0.235,0.0057
0,0.04,,,11.6,19.4,51.6,0.65,0.31,0.0072
0.1,,,2.7,54.2,1.2,1.6,0.18,0.084,0.003
0.1,,2.7,3.3,9.7,16.6,42.6,0.98,0.38,0.01
0.1,,3.3,,36.1,68,78.8,0.033,0.285,0.012
0.063,0.1,,2.7,24,1.2,79.5,0.015,0.06,0.007
0.063,0.1,2.7,3.3,11.9,10.2,54,2.32,0.28,0.008
0.063,0.1,3.3,,64.1,67.1,1.4,0.174,0.53,0.002
0.04,0.063,,2.7,76.6,3.1,71.3,0.85,0.145,0.013
0.04,0.063,2.7,3.3,4.3,28.5,24.5,2.78,0.46,0.11
0.04,0.063,3.3,,19.1,68.6,0.6,0.069,0.48,0.013
