,dataset,datafile,bytes,metadata,report,archive,datafile_md5,target,target_sha256
0,A072391_assay,..\..\datasets\A072391_assay\A072391_assay.csv,32891149,True,True,True,957309836cb748525974aa690c5f919a,..\..\datasets\A072391_assay\A072391_assay.zip,9890b36290ea39fb0a7bb4f74977f66e4fa0095c83aac808779ce7389ad30b52
1,A072391_collars,..\..\datasets\A072391_collars\A072391_collars.csv,765470,True,True,True,597f5fe444270fe4409814b002b6e5cd,..\..\datasets\A072391_collars\A072391_collars.zip,7dd6b1828e1ce75d559a295abced44235696c1128756ed592aabb446f242dd3a
2,A072391_geo,..\..\datasets\A072391_geo\A072391_geo.csv,23544608,True,True,True,cdd8aed2841c73f3c203b995e099b590,..\..\datasets\A072391_geo\A072391_geo.zip,e1c871e7f0b03dd12380740d27b0183e4b3e39f3f47b7bbcfffd5e0e7f32a6c2
3,A072391_met,..\..\datasets\A072391_met\A072391_met.csv,412184,True,True,True,d2ac41f41ab7ba56f8239d63dba8a906,..\..\datasets\A072391_met\A072391_met.zip,5a736e858887704365dee20a8a001b980f994ccab0aef83f278e6b687ab55d7a
4,A072391_wireline,..\..\datasets\A072391_wireline\A072391_wireline.csv,4904606,True,True,True,6c810d264e83fe9c25576a53ebe8ff07,..\..\datasets\A072391_wireline\A072391_wireline.zip,b603189bca36553911940f3be2438974898b6c0d05d48be4b5705b1fa1eda14a
5,demo_data,..\..\datasets\demo_data\demo_data.csv,284,True,True,True,746da032cebd545d165bdc5f3c9fb625,..\..\datasets\demo_data\demo_data.zip,a22a4a6ff123977de2ba9d16a543a51cc15549d96b983c847e26b594b5532b56
6,iron_ore_sample_A072391,..\..\datasets\iron_ore_sample_A072391\iron_ore_sample_A072391.csv,10923,True,True,True,8403fb2acbc37e98738486ba5f49fa7d,..\..\datasets\iron_ore_sample_A072391\iron_ore_sample_A072391.zip,6d2af6e456d5eb2a5dcbcab32a1405d2708909abc857188a6129a976f2ea3fe7
7,iron_ore_sample_xyz_A072391,..\..\datasets\iron_ore_sample_xyz_A072391\iron_ore_sample_xyz_A072391.csv,14496,True,True,True,4ea605c41b073a304514a8c5e1d9cca3,..\..\datasets\iron_ore_sample_xyz_A072391\iron_ore_sample_xyz_A072391.zip,007a73ff7c1d98f487aea4f3747e7ce0dc75cf8d5edf804e407840d28321fa6e
8,size_by_assay,..\..\datasets\size_by_assay\size_by_assay.csv,249,True,True,True,3ea813789ad8efb1b9d4cbb7d47f00a4,..\..\datasets\size_by_assay\size_by_assay.zip,53d187bd348809296bfa25dcc228da86b539aceaef9d28cb521d7a12c0bf84b3
9,size_distribution,..\..\datasets\size_distribution\size_distribution.csv,565,True,True,True,bd183c8240cceda4c9690746a69ce729,..\..\datasets\size_distribution\size_distribution.zip,df87d3a7854f53b3bd3486e0aa4beaf417a32c97c8234aa9dab213c9f4dc0db3
