Unnamed: 0,HOLEID,DEPTH,RL,Method,EAST,NORTH,CollarDip,CollarAzimuth,RigID,TENEMENTID,STARTDATE,ENDDATE,Surveyed
D,CB0001,67.0,425.0,RC,728002.0,7533994.057,-90.0,0.0,DD1,E45/2499,14-Nov-04,14-Nov-04,24-Feb-05
D,CB0002,49.0,425.0,RC,727599.0,7533998.476,-90.0,0.0,DD1,E45/2499,14-Nov-04,15-Nov-04,24-Feb-05
D,CB0003,66.0,424.0,RC,727205.0,7533996.374,-90.0,0.0,DD1,E45/2499,15-Nov-04,15-Nov-04,24-Feb-05
D,CB0004,56.0,422.0,RC,726996.0,7534000.652,-90.0,0.0,DD1,E45/2499,16-Nov-04,16-Nov-04,24-Feb-05
D,CB0005,54.0,422.0,RC,726999.0,7534202.086,-90.0,0.0,DD1,E45/2499,17-Nov-04,17-Nov-04,24-Feb-05
D,CB0006,40.0,423.0,RC,727000.0,7534601.902,-90.0,0.0,DD1,E45/2499,17-Nov-04,17-Nov-04,24-Feb-05
D,CB0007,42.0,424.0,RC,727008.0,7534998.737,-90.0,0.0,DD1,E45/2499,17-Nov-04,17-Nov-04,24-Feb-05
D,CB0008,42.0,422.0,RC,726600.0,7534996.728,-90.0,0.0,DD1,E45/2499,18-Nov-04,18-Nov-04,24-Feb-05
D,CB0009,72.0,421.0,RC,726209.0,7534995.954,-90.0,0.0,DD1,E45/2499,18-Nov-04,18-Nov-04,24-Feb-05
D,CB0010,48.0,420.0,RC,726000.0,7534993.174,-90.0,0.0,DD1,E45/2499,19-Nov-04,20-Nov-04,24-Feb-05
D,CB0011,46.0,419.0,RC,725797.0,7535007.769,-90.0,0.0,DD1,E45/2499,20-Nov-04,20-Nov-04,24-Feb-05
D,CB0012,54.0,418.0,RC,725598.0,7535000.663,-90.0,0.0,DD1,E45/2499,20-Nov-04,20-Nov-04,24-Feb-05
D,CB0013,66.0,417.0,RC,725394.0,7535000.94,-90.0,0.0,DD1,E45/2499,20-Nov-04,20-Nov-04,24-Feb-05
D,CB0014,54.0,417.0,RC,725194.0,7535002.34,-90.0,0.0,DD1,E45/2499,21-Nov-04,21-Nov-04,24-Feb-05
D,CB0015,65.0,416.0,RC,724993.0,7535002.359,-90.0,0.0,DD1,E45/2499,22-Nov-04,22-Nov-04,24-Feb-05
D,CB0016,72.0,415.0,RC,724595.0,7535005.123,-90.0,0.0,DD1,E45/2499,22-Nov-04,22-Nov-04,24-Feb-05
D,CB0017,66.0,414.0,RC,724400.0,7535001.473,-90.0,0.0,DD1,E45/2499,22-Nov-04,24-Nov-04,24-Feb-05
D,CB0018,72.0,413.0,RC,724005.0,7535003.379,-90.0,0.0,DD1,E45/2499,25-Nov-04,25-Nov-04,24-Feb-05
D,CB0019,59.0,414.0,RC,723197.0,7534999.695,-90.0,0.0,DD1,E45/2499,25-Nov-04,25-Nov-04,24-Feb-05
D,CB0020,66.0,415.0,RC,722997.0,7535000.864,-90.0,0.0,DD1,E45/2499,26-Nov-04,26-Nov-04,24-Feb-05
D,CB0021,66.0,415.0,RC,722796.0,7535001.878,-90.0,0.0,DD1,E45/2499,26-Nov-04,26-Nov-04,24-Feb-05
D,CB0022,70.0,416.0,RC,722397.0,7535005.693,-90.0,0.0,DD1,E45/2499,27-Nov-04,27-Nov-04,24-Feb-05
D,CB0023,75.0,417.0,RC,722001.0,7535021.945,-90.0,0.0,DD1,E45/2499,27-Nov-04,28-Nov-04,24-Feb-05
D,CB0024,61.0,420.0,RC,722000.0,7535804.934,-90.0,0.0,DD1,E45/2499,29-Nov-04,29-Nov-04,24-Feb-05
