Sample_number,Bulk_Hole_No,From (m),To (m),Sample_Thickness (m),Lump (%), Fines (%),L/F Ratio,Dry Weight Lump (kg),Dry Weight Fines (kg),Moisture (%),Fe,SiO2,Al2O3,TiO2,MnO,CaO,P,S ,MgO,K2O,Na2O,LOI371,LOI650,LOI1000,LOITotal,Fe_Lump,SiO2_Lump,Al2O3_Lump,TiO2_Lump,MnO_Lump,CaO_Lump,P_Lump,S _Lump,MgO_Lump,K2O_Lump,Na2O_Lump,LOI371_Lump,LOI650_Lump,LOI1000_Lump,LOITotal_Lump,Fe_Head,SiO2_Head,Al2O3_Head,TiO2_Head,MnO_Head,CaO_Head,P_Head,S _Head,MgO_Head,K2O_Head,Na2O_Head,LOI371_Head,LOI650_Head,LOI1000_Head,LOITotal_Head
30125,CBS02,24.6,24.9,0.3,14.5,85.5,0.170,,,,47.66,21.23,2.74,0.092,0.47,0.12,0.039,0.044,0.27,0.08,0.05,4.97,0.92,0.43,6.32,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30126,CBS02,24.9,25.3,0.4,13.5,86.5,0.156,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30127,CBS02,25.3,25.7,0.4,11.7,88.3,0.133,,,,49.04,13.64,7.56,0.299,0.64,0.1,0.059,0.036,0.24,0.04,0.03,4.16,2.23,0.41,6.8,59.65,7.69,2.4,0.081,0.24,0.05,0.028,0.022,0.12,0.03,0.03,2.63,0.77,0.38,3.78,50.29,12.94,6.95,0.27,0.59,0.09,0.06,0.03,0.23,0.04,0.03,3.98,2.06,0.41,6.45
30128,CBS02,25.7,26.0,0.3,18.7,81.3,0.230,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30129,CBS02,,,0.0,21.3,78.7,0.270,0.31,1.6,0.4,62.40,4.1,1.68,0.067,0.0,0.16,0.022,0.022,0.08,0.02,0.03,3.2,0.7,0.3,4.2,64.95,2.29,0.87,0.037,0.12,0.04,0.014,0.009,0.04,0.01,0.01,3.12,0.46,0.25,3.83,62.94,3.71,1.51,0.06,-,0.13,0.02,0.02,0.07,0.02,0.02,3.18,0.65,0.29,4.12
30130,CBS02,26.4,26.6,0.2,20.4,79.6,0.256,,1.6,0.37,64.04,3.16,1.41,0.062,0.0,0.04,0.02,0.021,0.07,0.02,0.02,2.41,0.53,0.33,3.27,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30131,CBS02,26.6,26.85,0.25,22.4,77.6,0.288,0.52,1.6,0.35,64.30,3.23,1.48,0.08,0.0,0.04,0.019,0.021,0.07,0.03,0.01,2.04,0.53,0.33,2.9,66.48,1.67,0.65,0.033,0.08,0.02,0.009,0.011,0.04,0.01,0.01,1.81,0.36,0.29,2.46,64.79,2.88,1.29,0.07,-,0.04,0.02,0.02,0.06,0.02,0.01,1.99,0.49,0.32,2.80
30132,CBS02,26.85,27.1,0.25,16.6,83.4,0.199,0.41,1.65,0.23,64.91,2.9,1.28,0.082,0.0,0.04,0.017,0.022,0.06,0.03,0.01,1.8,0.47,0.33,2.6,66.78,1.34,0.47,0.024,0.07,-0.01,0.009,0.009,0.04,0.01,0.01,2.07,0.34,0.26,2.67,65.22,2.64,1.15,0.07,-,0.03,0.02,0.02,0.06,0.02,0.01,1.84,0.45,0.32,2.61
30133,CBS02,,,0.0,19.6,80.4,0.243,0.32,1.6,0.26,64.29,3.16,1.3,0.082,0.0,0.05,0.017,0.019,0.07,0.03,0.01,2.27,0.49,0.3,3.06,66.23,1.56,0.62,0.034,0.09,0.03,0.011,0.01,0.05,0.01,0.02,2.12,0.36,0.26,2.74,64.67,2.85,1.17,0.07,-,0.05,0.02,0.02,0.07,0.02,0.01,2.24,0.46,0.29,3.00
30134,CBS02,27.7,28.0,0.3,13.9,86.1,0.161,0.31,1.6,0.23,65.09,2.39,1.01,0.059,0.0,0.03,0.016,0.017,0.06,0.02,0.01,2.28,0.39,0.27,2.94,66.53,1.41,0.54,0.027,0.08,0.02,0.011,0.01,0.04,0.01,0.01,2.35,0.33,0.23,2.91,65.29,2.25,0.94,0.05,-,0.03,0.02,0.02,0.06,0.02,0.01,2.29,0.38,0.26,2.93
30135,CBS02,28.0,28.3,0.3,15.8,84.2,0.188,0.31,1.65,0.36,65.03,2.22,0.99,0.057,0.0,0.04,0.022,0.019,0.06,0.02,0.01,2.82,0.43,0.28,3.53,66.54,1.43,0.51,0.027,0.09,0.02,0.012,0.012,0.04,0.01,0.0,2.39,0.33,0.25,2.97,65.27,2.10,0.91,0.05,-,0.04,0.02,0.02,0.06,0.02,0.01,2.75,0.41,0.28,3.44
30136,CBS02,28.3,28.6,0.3,15.3,84.7,0.180,,1.6,0.23,65.41,2.11,0.92,0.048,0.0,0.03,0.019,0.017,0.06,0.02,0.01,2.44,0.39,0.27,3.1,,,,,,,,,,,,,,,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30137,CBS02,28.6,28.95,0.35,15.9,84.1,0.189,0.41,1.65,0.4,65.87,1.69,0.75,0.04,0.0,0.03,0.016,0.017,0.05,0.01,0.01,2.3,0.34,0.27,2.91,66.79,1.36,0.62,0.034,0.07,0.03,0.01,0.014,0.04,0.01,0.01,1.74,0.38,0.3,2.42,66.02,1.64,0.73,0.04,-,0.03,0.02,0.02,0.05,0.01,0.01,2.21,0.35,0.27,2.83
